threshold,margin,dollar_amount,limit_price,num_trades,wins,losses,win_rate,avg_roi,sharpe_ratio,total_roi,avg_fill_rate,min_fill_rate,kelly_fraction,kelly_roi
0.55,0.01,13001.0,0.56,28,20,8,0.7142857142857143,-0.05105554006872189,-0.08386602227718153,-1.4295551219242133,1.0,0.9999999999999997,,
0.55,0.01,14001.0,0.56,28,20,8,0.7142857142857143,-0.06085708637086636,-0.10107270683230893,-1.7039984183842587,1.0,0.9999999999999998,,
0.55,0.02,1.0,0.5700000000000001,28,20,8,0.7142857142857143,0.18395097042988273,0.24073825635809634,5.150627172036718,1.0,1.0,0.2711633847415006,0.026302822126536896
0.55,0.02,1001.0,0.5700000000000001,28,20,8,0.7142857142857143,0.15813494116963644,0.21163457241302341,4.427778352749818,1.0,0.9999999999999999,0.24660434810395668,0.020468863594607534
0.55,0.02,2001.0,0.5700000000000001,28,20,8,0.7142857142857143,0.13698009045659054,0.1867635247101605,3.8354425327845334,1.0,0.9999999999999999,0.22421008183136323,0.01605121736491344
0.55,0.02,3001.0,0.5700000000000001,28,20,8,0.7142857142857143,0.11821018711134355,0.16392078234901372,3.3098852391176194,1.0,0.9999999999999999,0.20242672510787232,0.012453131343236779
0.55,0.02,4001.0,0.5700000000000001,28,20,8,0.7142857142857143,0.0994275878546764,0.1402799400866025,2.783972459930939,1.0,0.9999999999999999,0.1785348384262044,0.009194997506186242
0.55,0.02,5001.0,0.5700000000000001,28,20,8,0.7142857142857143,0.07909646538014455,0.11375226821730129,2.214701030644047,1.0,0.9999999999999998,0.14992959939015268,0.006108252545015791
0.55,0.02,6001.0,0.5700000000000001,28,20,8,0.7142857142857143,0.05846398524158054,0.08576553295622782,1.6369915867642553,1.0,0.9999999999999997,0.11746024433094752,0.0035143982005971797
0.55,0.02,7001.0,0.5700000000000001,28,20,8,0.7142857142857143,0.03821165404660932,0.057180988948066,1.0699263133050605,1.0,0.9999999999999998,0.0815657989622803,0.0015836937365041326
0.55,0.02,8001.0,0.5700000000000001,28,20,8,0.7142857142857143,0.01805991071412389,0.0275759599963442,0.505677499995469,1.0,0.9999999999999998,0.04110052738253967,0.0003741515667672335
0.55,0.02,9001.0,0.5700000000000001,28,20,8,0.7142857142857143,-0.0006263054634374567,-0.0009747330652603709,-0.01753655297624901,1.0,0.9999999999999998,,
0.55,0.02,10001.0,0.5700000000000001,28,20,8,0.7142857142857143,-0.017546441816917564,-0.027793851372485873,-0.49130037087369205,1.0000000000000002,0.9999999999999997,,
0.55,0.02,11001.0,0.5700000000000001,28,20,8,0.7142857142857143,-0.03251740752685802,-0.05233589659159165,-0.9104874107520247,1.0,0.9999999999999999,,
0.55,0.02,12001.0,0.5700000000000001,28,20,8,0.7142857142857143,-0.04422747606427689,-0.07211323823581398,-1.2383693297997533,1.0,0.9999999999999997,,
0.55,0.02,13001.0,0.5700000000000001,28,20,8,0.7142857142857143,-0.05471377634704755,-0.0902627688395359,-1.5319857377173312,1.0,0.9999999999999997,,
0.55,0.02,14001.0,0.5700000000000001,28,20,8,0.7142857142857143,-0.064334144190785,-0.10728898062111551,-1.80135603734198,1.0,0.9999999999999998,,
0.55,0.03,1.0,0.5800000000000001,28,20,8,0.7142857142857143,0.17155961162394226,0.22705663248769356,4.803669125470384,1.0,1.0,0.25986115322290165,0.023462043926079312
