threshold,margin,dollar_amount,limit_price,num_trades,wins,losses,win_rate,avg_roi,sharpe_ratio,total_roi
0.55,0.04,8001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.0663215251500292,-0.09714216840557682,-7.295367766503214
0.55,0.04,9001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.07967607199759769,-0.11840765581710133,-8.764367919735742
0.55,0.04,10001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.09252451462347705,-0.13946397121581056,-10.177696608582481
0.55,0.04,11001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.10485985426530123,-0.1602709432535511,-11.534583969183132
0.55,0.04,12001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.11652986608517975,-0.18051319506830502,-12.81828526936978
0.55,0.04,13001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.1276193033648314,-0.20027250697201016,-14.038123370131451
0.55,0.04,14001.0,0.5900000000000001,110,72,38,0.6545454545454545,-0.1379544649934289,-0.21917236015906819,-15.174991149277172
0.55,0.05,1.0,0.6000000000000001,110,72,38,0.6545454545454545,0.026352343406120134,0.0352044310638922,2.8987577746732165
0.55,0.05,1001.0,0.6000000000000001,110,72,38,0.6545454545454545,0.008353225983426499,0.011348882389125119,0.9188548581769179
0.55,0.05,2001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.0058314612975159,-0.008033807274772637,-0.6414607427267526
0.55,0.05,3001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.017970893696811333,-0.0250583131402475,-1.9767983066492454
0.55,0.05,4001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.029089326446355566,-0.041020217115284974,-3.1998259090991104
0.55,0.05,5001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.04010748328640191,-0.05719787167140812,-4.4118231615042065
0.55,0.05,6001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.051626308338822605,-0.07450872853524039,-5.678893917270485
0.55,0.05,7001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.06406104853858785,-0.09367659103263291,-7.0467153392446615
0.55,0.05,8001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.07770351041971689,-0.11530479167858608,-8.54738614616886
0.55,0.05,9001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.09087785500748687,-0.13680909204621466,-9.996564050823554
0.55,0.05,10001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.10360137398720975,-0.15819307608073543,-11.39615113859308
0.55,0.05,11001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.11570074921164596,-0.17912108575930194,-12.727082413281055
0.55,0.05,12001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.12680453311562823,-0.1988518499124605,-13.948498642719104
0.55,0.05,13001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.13751009058820043,-0.21839261249956823,-15.126109964702042
0.55,0.05,14001.0,0.6000000000000001,110,72,38,0.6545454545454545,-0.14734678034530238,-0.23679993560494803,-16.208145837983256
0.55,0.060000000000000005,1.0,0.6100000000000001,110,72,38,0.6545454545454545,0.01609431971541251,0.021733590975663915,1.7703751686953775
0.55,0.060000000000000005,1001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.00032685123727045076,-0.0004482902047107567,-0.03595363609974914
0.55,0.060000000000000005,2001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.013992293054941438,-0.019451865534481978,-1.5391522360435563
0.55,0.060000000000000005,3001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.025687048670014534,-0.03612953069966003,-2.825575353701597
0.55,0.060000000000000005,4001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.03672603058399337,-0.0522380241394534,-4.0398633642392685
0.55,0.060000000000000005,5001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.048023251201038335,-0.06910404132435823,-5.282557632114217
0.55,0.060000000000000005,6001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.05978958189187301,-0.0870935871911423,-6.576854008106031
0.55,0.060000000000000005,7001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.0730036189971977,-0.10784736611762943,-8.030398089691747
0.55,0.060000000000000005,8001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.08691389892032313,-0.13034321843221217,-9.560528881235545
0.55,0.060000000000000005,9001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.0999503700946361,-0.15205962892457286,-10.99454071040997
0.55,0.060000000000000005,10001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.11266952321498667,-0.17388623871429734,-12.39364755364854
0.55,0.060000000000000005,11001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.12426893165764272,-0.19435173311461673,-13.669582482340694
0.55,0.060000000000000005,12001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.1351077321620195,-0.21400103617162713,-14.861850537822145
0.55,0.060000000000000005,13001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.1454618490647055,-0.233271395525533,-16.000803397117604
0.55,0.060000000000000005,14001.0,0.6100000000000001,110,72,38,0.6545454545454545,-0.15479010437732893,-0.2510462744953045,-17.026911481506183
0.55,0.06999999999999999,1.0,0.62,110,72,38,0.6545454545454545,0.01609431971541251,0.021733590975663915,1.7703751686953775
0.55,0.06999999999999999,1001.0,0.62,110,72,38,0.6545454545454545,-0.00032685123727045076,-0.0004482902047107567,-0.03595363609974914
0.55,0.06999999999999999,2001.0,0.62,110,72,38,0.6545454545454545,-0.013992293054941438,-0.019451865534481978,-1.5391522360435563
0.55,0.06999999999999999,3001.0,0.62,110,72,38,0.6545454545454545,-0.025687048670014534,-0.03612953069966003,-2.825575353701597
0.55,0.06999999999999999,4001.0,0.62,110,72,38,0.6545454545454545,-0.03672603058399337,-0.0522380241394534,-4.0398633642392685
0.55,0.06999999999999999,5001.0,0.62,110,72,38,0.6545454545454545,-0.048023251201038335,-0.06910404132435823,-5.282557632114217
0.55,0.06999999999999999,6001.0,0.62,110,72,38,0.6545454545454545,-0.05978958189187301,-0.0870935871911423,-6.576854008106031
0.55,0.06999999999999999,7001.0,0.62,110,72,38,0.6545454545454545,-0.0730036189971977,-0.10784736611762943,-8.030398089691747
0.55,0.06999999999999999,8001.0,0.62,110,72,38,0.6545454545454545,-0.08691389892032313,-0.13034321843221217,-9.560528881235545
0.55,0.06999999999999999,9001.0,0.62,110,72,38,0.6545454545454545,-0.0999503700946361,-0.15205962892457286,-10.99454071040997
0.55,0.06999999999999999,10001.0,0.62,110,72,38,0.6545454545454545,-0.11266952321498667,-0.17388623871429734,-12.39364755364854
0.55,0.06999999999999999,11001.0,0.62,110,72,38,0.6545454545454545,-0.12426893165764272,-0.19435173311461673,-13.669582482340694
0.55,0.06999999999999999,12001.0,0.62,110,72,38,0.6545454545454545,-0.1351077321620195,-0.21400103617162713,-14.861850537822145
0.55,0.06999999999999999,13001.0,0.62,110,72,38,0.6545454545454545,-0.1454618490647055,-0.233271395525533,-16.000803397117604
0.55,0.06999999999999999,14001.0,0.62,110,72,38,0.6545454545454545,-0.15479010437732893,-0.2510462744953045,-17.026911481506183
0.55,0.08,1.0,0.63,110,72,38,0.6545454545454545,0.005498485257858925,0.007507895256606925,0.6048333783644771
0.55,0.08,1001.0,0.63,110,72,38,0.6545454545454545,-0.009931196296848856,-0.013761860013877115,-1.092431592653375
0.55,0.08,2001.0,0.63,110,72,38,0.6545454545454545,-0.022874612730514266,-0.032108668935246665,-2.516207400356571
0.55,0.08,3001.0,0.63,110,72,38,0.6545454545454545,-0.034081450799237085,-0.04838166300172369,-3.7489595879160795
0.55,0.08,4001.0,0.63,110,72,38,0.6545454545454545,-0.045270035944958,-0.06500307300605071,-4.979703953945382
0.55,0.08,5001.0,0.63,110,72,38,0.6545454545454545,-0.05671817953381552,-0.08240703538051176,-6.238999748719708
0.55,0.08,6001.0,0.63,110,72,38,0.6545454545454545,-0.06906139031270939,-0.10164539172138408,-7.596752934398031
0.55,0.08,7001.0,0.63,110,72,38,0.6545454545454545,-0.08323183456232887,-0.12437805762373165,-9.155501801856175
0.55,0.08,8001.0,0.63,110,72,38,0.6545454545454545,-0.09705174244313133,-0.14722887124985537,-10.675691668744447
0.55,0.08,9001.0,0.63,110,72,38,0.6545454545454545,-0.11008983316508332,-0.16945014355048033,-12.109881648159165
0.55,0.08,10001.0,0.63,110,72,38,0.6545454545454545,-0.12234730561493894,-0.1909551625459255,-13.458203617643287
0.55,0.08,11001.0,0.63,110,72,38,0.6545454545454545,-0.13349978202488438,-0.21106623097869945,-14.684976022737281
0.55,0.08,12001.0,0.63,110,72,38,0.6545454545454545,-0.14406831187752397,-0.23064628994679087,-15.84751430652763
0.55,0.08,13001.0,0.63,110,72,38,0.6545454545454545,-0.1538300268467692,-0.24918688897676716,-16.92130295314461
0.55,0.08,14001.0,0.63,110,72,38,0.6545454545454545,-0.16266538993177207,-0.2663517754116105,-17.89319289249492
0.55,0.09,1.0,0.64,110,72,38,0.6545454545454545,-0.005843764491689319,-0.008074549211240081,-0.6428140940858282
